YearMonth,Monthly_High,Monthly_Low,Average_Close,Median_Close,Average_Volume,Price_Range
2017-03,44.06999969482422,40.66999816894531,41.99695653500764,41.84000015258789,349182.60869565216,3.4000015258789062
2017-04,44.83000183105469,41.189998626708984,43.22631595009252,43.220001220703125,292452.63157894736,3.640003204345703
2017-05,43.38999938964844,38.04999923706055,40.007727189497515,39.48500061035156,289204.54545454547,5.340000152587891
2017-06,41.33000183105469,38.869998931884766,40.081818493929774,40.03499984741211,258404.54545454544,2.460002899169922
2017-07,40.779998779296875,37.970001220703125,39.704000091552736,39.96500015258789,184030.0,2.80999755859375
2017-08,41.22999954223633,39.630001068115234,40.32739091956097,40.310001373291016,220252.1739130435,1.5999984741210938
2017-09,41.369998931884766,39.2400016784668,40.32850017547607,40.364999771118164,204350.0,2.1299972534179688
2017-10,41.689998626708984,38.599998474121094,40.08500012484464,40.295000076293945,201768.18181818182,3.0900001525878906
2017-11,39.970001220703125,36.790000915527344,39.26857121785482,39.36000061035156,304104.7619047619,3.1800003051757812
2017-12,39.9900016784668,36.95000076293945,38.56400012969971,38.47500038146973,221455.0,3.0400009155273438
2018-01,38.380001068115234,34.7599983215332,36.34809530349005,36.29999923706055,162609.52380952382,3.6200027465820312
2018-02,35.43000030517578,30.93000030517578,32.68684186433491,32.619998931884766,319747.36842105264,4.5
2018-03,34.22999954223633,30.6200008392334,32.61857141767229,32.52000045776367,482676.1904761905,3.6099987030029297
2018-04,35.040000915527344,32.25,33.71666644868397,33.93000030517578,251676.19047619047,2.7900009155273438
2018-05,36.45000076293945,32.540000915527344,34.89045455239036,34.94000053405762,317159.0909090909,3.9099998474121094
2018-06,38.869998931884766,36.130001068115234,37.580952598935085,37.439998626708984,247342.85714285713,2.7399978637695312
2018-07,39.25,36.56999969482422,37.952857244582404,38.06999969482422,234876.19047619047,2.6800003051757812
2018-08,39.849998474121094,37.29999923706055,38.98739126454229,38.9900016784668,158991.30434782608,2.549999237060547
2018-09,39.5,36.650001525878906,38.067894785027754,38.279998779296875,239900.0,2.8499984741210938
2018-10,39.4900016784668,35.369998931884766,36.84999980097232,36.779998779296875,212760.86956521738,4.120002746582031
2018-11,41.779998779296875,37.63999938964844,39.419523511614116,39.369998931884766,215742.85714285713,4.1399993896484375
2018-12,42.849998474121094,38.150001525878906,40.959999686793275,41.099998474121094,273178.94736842107,4.6999969482421875
2019-01,42.970001220703125,38.939998626708984,40.88952364240374,40.81999969482422,211252.38095238095,4.030002593994141
2019-02,44.459999084472656,41.869998931884766,43.580000024092826,43.599998474121094,151073.68421052632,2.5900001525878906
2019-03,46.619998931884766,43.06999969482422,45.32333319527762,45.56999969482422,255347.61904761905,3.549999237060547
2019-04,46.86000061035156,43.130001068115234,45.72047642299107,46.0,245233.33333333334,3.729999542236328
2019-05,46.86000061035156,44.4900016784668,45.73727295615456,45.84499931335449,212327.27272727274,2.3699989318847656
2019-06,48.11000061035156,44.25,46.54549980163574,46.5,1057645.0,3.8600006103515625
2019-07,48.29999923706055,45.470001220703125,47.04318185286088,46.96999931335449,372768.1818181818,2.829998016357422
2019-08,47.630001068115234,44.900001525878906,46.708182074806906,46.76999855041504,250859.0909090909,2.729999542236328
2019-09,48.18000030517578,46.209999084472656,47.08050003051758,46.94499969482422,529120.0,1.970001220703125
2019-10,49.2599983215332,45.650001525878906,47.16608694325323,47.20000076293945,282730.4347826087,3.609996795654297
2019-11,48.9900016784668,45.540000915527344,47.040499687194824,46.93499946594238,253550.0,3.450000762939453
2019-12,48.040000915527344,44.209999084472656,45.81666655767532,45.25,312190.4761904762,3.8300018310546875
2020-01,48.150001525878906,44.7599983215332,46.441429138183594,46.2400016784668,260209.52380952382,3.390003204345703
2020-02,46.939998626708984,39.849998474121094,45.345789658395866,46.040000915527344,363668.4210526316,7.090000152587891
2020-03,43.650001525878906,20.149999618530273,30.48000006242232,24.84500026702881,548809.0909090909,23.500001907348633
2020-04,23.760000228881836,22.149999618530273,22.600000381469727,22.600000381469727,437500.0,1.6100006103515625
